,Номер поручения,Выполнено,Затрачено дней,Сумма вознаграждения,Описание,lemm,group
474,11474,да,2.0,6000,"Недалеко от города монстры похитили путников. Нужно освободить их. Осмотрите все возможные укрытия, чтобы найти похищенных.","недалеко от город монстр похитить путник . нужный освободить они . осмотрите весь возможный укрытие , чтобы найти похитить .",2
475,11475,да,2.0,20000,"В пещере завёлся дракон. Нужно его уничтожить. Это может потребовать времени и усилий, так как дракон очень опасен.","в пещера завестись дракон . нужный он уничтожить . это мочь потребовать время и усилие , так как дракон очень опасный .",3
476,11476,да,3.0,10000,"По дороге из деревни звери нападают на людей. Нужно прогнать их. Будьте осторожны, так как звери могут быть опасными.","по дорога из деревня зверь нападать на человек . нужный прогнать они . быть осторожный , так как зверь мочь быть опасный .",3
477,11477,да,1.0,24000,Недалеко от города у меня потерялась драгоценность. Нужно найти её как можно скорее.,недалеко от город у я потеряться драгоценность . нужный найти она как можно скорый .,1
478,11478,да,10.0,24000,"В пещере завёлся дракон. Нужно его уничтожить. Это может потребовать времени и усилий, так как дракон очень опасен.","в пещера завестись дракон . нужный он уничтожить . это мочь потребовать время и усилие , так как дракон очень опасный .",3
479,11479,да,1.0,20500,"В деревне у меня пропала драгоценность. Нужно найти её как можно скорее. Проверьте все места, где она могла быть оставлена.","в деревня у я пропасть драгоценность . нужный найти она как можно скорый . проверить весь место , где она мочь быть оставить .",1
480,11480,да,2.0,16500,В городе у меня потерялась драгоценность. Нужно найти её как можно скорее.,в город у я потеряться драгоценность . нужный найти она как можно скорый .,1
481,11481,да,3.0,27500,В городе у меня потерялась драгоценность. Нужно вернуть её как можно скорее.,в город у я потеряться драгоценность . нужный вернуть она как можно скорый .,1
482,11482,да,2.0,18000,"В лесу около деревни видели монстров. Нужно уничтожить их. Будьте осторожны, так как монстры могут быть опасными.","в лес около деревня видеть монстр . нужный уничтожить они . быть осторожный , так как монстр мочь быть опасный .",3
483,11483,да,5.0,24500,"В пещере завёлся дракон. Нужно его убить. Это может потребовать времени и усилий, так как дракон очень опасен.","в пещера завестись дракон . нужный он убить . это мочь потребовать время и усилие , так как дракон очень опасный .",3
484,11484,да,1.0,29000,В лесу по дороге от пещеры разбойники нападают на людей. Нужно проучить их.,в лес по дорога от пещера разбойник нападать на человек . нужный проучить они .,0
485,11485,да,2.0,23500,В деревне у меня был украден рюкзак. Нужно вернуть его как можно скорее.,в деревня у я быть украсть рюкзак . нужный вернуть он как можно скорый .,1
486,11486,да,6.0,7000,В деревне у меня пропал рюкзак. Нужно вернуть его как можно скорее.,в деревня у я пропасть рюкзак . нужный вернуть он как можно скорый .,1
487,11487,да,3.0,17500,"По дороге из деревни заметили разбойников. Нужно прогнать их. Будьте осторожны, так как разбойники могут быть опасными.","по дорога из деревня заметить разбойник . нужный прогнать они . быть осторожный , так как разбойник мочь быть опасный .",3
488,11488,да,4.0,20500,"В лесу по дороге от пещеры встречаются звери. Нужно прогнать их. Осмотрите все возможные укрытия, чтобы найти зверей.","в лес по дорога от пещера встречаться зверь . нужный прогнать они . осмотрите весь возможный укрытие , чтобы найти зверь .",4
489,11489,да,7.0,15000,По дороге из деревни монстры похитили путников. Нужно спасти их.,по дорога из деревня монстр похитить путник . нужный спасти они .,2
490,11490,да,1.0,26500,В лесу по дороге от пещеры видели монстров. Нужно уничтожить их.,в лес по дорога от пещера видеть монстр . нужный уничтожить они .,0
491,11491,да,1.0,9000,"В пещере появвилось огромное каменное чудовище. Нужно уничтожить его. Это может потребовать времени и усилий, так как огромное каменное чудовище очень опасен.","в пещера появвиться огромный каменный чудовище . нужный уничтожить он . это мочь потребовать время и усилие , так как огромный каменный чудовище очень опасный .",3
492,11492,да,4.0,7000,По дороге из деревни у меня была украдена драгоценность. Нужно вернуть её как можно скорее.,по дорога из деревня у я быть украсть драгоценность . нужный вернуть она как можно скорый .,1
493,11493,да,4.0,8500,В лесу около деревни заметили разбойников. Нужно прогнать их.,в лес около деревня заметить разбойник . нужный прогнать они .,0
494,11494,да,6.0,13500,Недалеко от города у меня пропал рюкзак. Нужно вернуть его как можно скорее.,недалеко от город у я пропасть рюкзак . нужный вернуть он как можно скорый .,1
495,11495,да,4.0,23000,В лесу около деревни встречаются звери. Нужно убить их.,в лес около деревня встречаться зверь . нужный убить они .,0
496,11496,да,7.0,9000,В лесу между городом и деревней видели монстров. Нужно победить их.,в лес между город и деревня видеть монстр . нужный победить они .,0
497,11497,да,4.0,8000,В лесу по дороге от пещеры монстры нападают на людей. Нужно победить их.,в лес по дорога от пещера монстр нападать на человек . нужный победить они .,0
498,11498,да,2.0,28000,В лесу около деревни разбойники нападают на людей. Нужно прогнать их.,в лес около деревня разбойник нападать на человек . нужный прогнать они .,0
499,11499,да,4.0,16500,В лесу недалеко от города были замечены разбойники. Нужно проучить их.,в лес недалеко от город быть заметить разбойник . нужный проучить они .,0
