,Номер поручения,Выполнено,Затрачено дней,Сумма вознаграждения,Описание,lemm,group,Герой,Оценка за качество,Оценка по срокам,Оценка за вежливость
378,11378,да,3.0,8500,Недалеко от города разбойники нападают на людей. Нужно прогнать их.,недалеко от город разбойник нападать на человек . нужный прогнать они .,0,Юлия,4,2,4
379,11379,да,9.0,26000,По дороге из деревни монстры похитили путников. Нужно освободить их.,по дорога из деревня монстр похитить путник . нужный освободить они .,2,Бенедикт,4,3,4
380,11380,да,10.0,8500,По дороге из деревни у меня пропала сумка с документами. Нужно вернуть её как можно скорее.,по дорога из деревня у я пропасть сумка с документ . нужный вернуть она как можно скорый .,1,Глюкоза,5,4,5
381,11381,нет,,7000,В пещере появвилось огромное каменное чудовище. Нужно убить его.,в пещера появвиться огромный каменный чудовище . нужный убить он .,0,Синеглазый,5,4,2
382,11382,да,4.0,21500,В лесу около деревни встречаются звери. Нужно убить их.,в лес около деревня встречаться зверь . нужный убить они .,0,Юлия,5,3,4
383,11383,да,2.0,6500,"В деревне монстры похитили путников. Нужно спасти их. Осмотрите все возможные укрытия, чтобы найти похищенных.","в деревня монстр похитить путник . нужный спасти они . осмотрите весь возможный укрытие , чтобы найти похитить .",2,Синеглазый,3,4,4
384,11384,да,1.0,13000,"Недалеко от города у меня была украдена сумка с документами. Нужно вернуть её как можно скорее. Проверьте все места, где она могла быть оставлена.","недалеко от город у я быть украсть сумка с документ . нужный вернуть она как можно скорый . проверить весь место , где она мочь быть оставить .",1,Мартин,3,4,4
385,11385,да,4.0,28000,В деревне у меня был украден рюкзак. Нужно вернуть его как можно скорее.,в деревня у я быть украсть рюкзак . нужный вернуть он как можно скорый .,1,Леопольд,4,5,4
386,11386,да,2.0,29500,В городе у меня была украдена драгоценность. Нужно вернуть её как можно скорее.,в город у я быть украсть драгоценность . нужный вернуть она как можно скорый .,1,Фредерик,4,5,4
387,11387,нет,,6500,Недалеко от города у меня пропала драгоценность. Нужно вернуть её как можно скорее.,недалеко от город у я пропасть драгоценность . нужный вернуть она как можно скорый .,1,Пастушок,4,4,4
388,11388,да,6.0,13500,В лесу около деревни встречаются звери. Нужно прогнать их.,в лес около деревня встречаться зверь . нужный прогнать они .,0,Пастушок,4,4,4
389,11389,да,8.0,15000,"В пещере завёлся дракон. Нужно его убить. Это может потребовать времени и усилий, так как дракон очень опасен.","в пещера завестись дракон . нужный он убить . это мочь потребовать время и усилие , так как дракон очень опасный .",3,Пастушок,4,4,4
390,11390,да,2.0,22500,В пещере появвилось огромное каменное чудовище. Нужно уничтожить его.,в пещера появвиться огромный каменный чудовище . нужный уничтожить он .,0,Бенедикт,2,4,4
391,11391,да,8.0,27500,"Недалеко от города монстры похитили путников. Нужно спасти их. Осмотрите все возможные укрытия, чтобы найти похищенных.","недалеко от город монстр похитить путник . нужный спасти они . осмотрите весь возможный укрытие , чтобы найти похитить .",2,Альфред,5,4,4
392,11392,да,5.0,11000,В пещере завёлся дракон. Нужно его убить.,в пещера завестись дракон . нужный он убить .,0,Бендер,4,3,4
393,11393,да,3.0,12000,По дороге из деревни монстры похитили путников. Нужно освободить их.,по дорога из деревня монстр похитить путник . нужный освободить они .,2,Леопольд,4,5,3
394,11394,да,6.0,16500,"В пещере появвилось огромное каменное чудовище. Нужно убить его. Это может потребовать времени и усилий, так как огромное каменное чудовище очень опасен.","в пещера появвиться огромный каменный чудовище . нужный убить он . это мочь потребовать время и усилие , так как огромный каменный чудовище очень опасный .",3,Бендер,4,4,4
395,11395,да,2.0,24500,В лесу недалеко от города были замечены разбойники. Нужно проучить их.,в лес недалеко от город быть заметить разбойник . нужный проучить они .,0,Соня,5,4,4
396,11396,нет,,23000,В лесу недалеко от города заметили зверей. Нужно убить их.,в лес недалеко от город заметить зверь . нужный убить они .,0,Бенедикт,3,4,4
397,11397,да,7.0,15000,По дороге из деревни монстры похитили путников. Нужно спасти их.,по дорога из деревня монстр похитить путник . нужный спасти они .,2,Юлия,4,4,4
398,11398,да,10.0,12000,"В лесу между городом и деревней заметили разбойников. Нужно прогнать их. Осмотрите все возможные укрытия, чтобы найти разбойников.","в лес между город и деревня заметить разбойник . нужный прогнать они . осмотрите весь возможный укрытие , чтобы найти разбойник .",4,Юлия,5,4,4
399,11399,да,5.0,6000,В пещере завёлся дракон. Нужно его уничтожить.,в пещера завестись дракон . нужный он уничтожить .,0,Фредерик,5,3,4
400,11400,да,4.0,5000,В пещере появвилось огромное каменное чудовище. Нужно уничтожить его.,в пещера появвиться огромный каменный чудовище . нужный уничтожить он .,0,Юлия,3,3,5
401,11401,да,8.0,17000,"В городе монстры похитили путников. Нужно освободить их. Осмотрите все возможные укрытия, чтобы найти похищенных.","в город монстр похитить путник . нужный освободить они . осмотрите весь возможный укрытие , чтобы найти похитить .",2,Пастушок,5,4,2
402,11402,нет,,12000,По дороге из деревни у меня потерялась драгоценность. Нужно вернуть её как можно скорее.,по дорога из деревня у я потеряться драгоценность . нужный вернуть она как можно скорый .,1,Синеглазый,4,3,4
403,11403,да,9.0,18500,В деревне у меня был украден рюкзак. Нужно вернуть его как можно скорее.,в деревня у я быть украсть рюкзак . нужный вернуть он как можно скорый .,1,Бендер,5,4,2
404,11404,да,3.0,29500,В лесу по дороге от пещеры монстры нападают на людей. Нужно победить их.,в лес по дорога от пещера монстр нападать на человек . нужный победить они .,0,Глюкоза,4,3,5
405,11405,да,2.0,17000,В пещере появвилось огромное каменное чудовище. Нужно убить его.,в пещера появвиться огромный каменный чудовище . нужный убить он .,0,Глюкоза,2,5,3
406,11406,да,3.0,21500,Недалеко от города заметили зверей. Нужно убить их.,недалеко от город заметить зверь . нужный убить они .,0,Глюкоза,3,3,4
407,11407,да,7.0,19000,В городе у меня пропал рюкзак. Нужно найти его как можно скорее.,в город у я пропасть рюкзак . нужный найти он как можно скорый .,1,Фредерик,4,3,4
408,11408,да,5.0,28000,В пещере завёлся дракон. Нужно его убить.,в пещера завестись дракон . нужный он убить .,0,Леопольд,3,3,4
409,11409,да,7.0,16000,В лесу по дороге от пещеры звери нападают на людей. Нужно прогнать их.,в лес по дорога от пещера зверь нападать на человек . нужный прогнать они .,0,Бенедикт,3,4,3
410,11410,да,9.0,27500,"В деревне у меня была украдена драгоценность. Нужно найти её как можно скорее. Проверьте все места, где она могла быть оставлена.","в деревня у я быть украсть драгоценность . нужный найти она как можно скорый . проверить весь место , где она мочь быть оставить .",1,Бендер,2,4,4
411,11411,да,4.0,26000,"Недалеко от города у меня пропал рюкзак. Нужно вернуть его как можно скорее. Проверьте все места, где он мог быть оставлен.","недалеко от город у я пропасть рюкзак . нужный вернуть он как можно скорый . проверить весь место , где он мочь быть оставить .",1,Бендер,4,4,4
412,11412,да,4.0,9500,В пещере завёлся дракон. Нужно его уничтожить.,в пещера завестись дракон . нужный он уничтожить .,0,Бендер,4,4,5
413,11413,да,1.0,7500,Недалеко от города у меня пропала сумка с документами. Нужно вернуть её как можно скорее.,недалеко от город у я пропасть сумка с документ . нужный вернуть она как можно скорый .,1,Соня,5,4,4
414,11414,да,4.0,9000,"Недалеко от города у меня был украден рюкзак. Нужно найти его как можно скорее. Проверьте все места, где он мог быть оставлен.","недалеко от город у я быть украсть рюкзак . нужный найти он как можно скорый . проверить весь место , где он мочь быть оставить .",1,Фредерик,5,4,4
415,11415,да,6.0,11000,По дороге из деревни у меня потерялась драгоценность. Нужно найти её как можно скорее.,по дорога из деревня у я потеряться драгоценность . нужный найти она как можно скорый .,1,Бенедикт,4,4,2
416,11416,да,7.0,19000,В лесу около деревни заметили зверей. Нужно прогнать их.,в лес около деревня заметить зверь . нужный прогнать они .,0,Бенедикт,4,4,2
417,11417,нет,,20500,Недалеко от города у меня была украдена драгоценность. Нужно найти её как можно скорее.,недалеко от город у я быть украсть драгоценность . нужный найти она как можно скорый .,1,Пастушок,4,4,4
418,11418,да,6.0,25000,В лесу между городом и деревней монстры нападают на людей. Нужно уничтожить их.,в лес между город и деревня монстр нападать на человек . нужный уничтожить они .,0,Альфред,3,5,4
419,11419,да,9.0,22000,В лесу недалеко от города видели монстров. Нужно уничтожить их.,в лес недалеко от город видеть монстр . нужный уничтожить они .,0,Леопольд,4,3,5
420,11420,да,5.0,7000,В лесу между городом и деревней разбойники нападают на людей. Нужно проучить их.,в лес между город и деревня разбойник нападать на человек . нужный проучить они .,0,Альфред,5,3,5
421,11421,да,10.0,19500,В деревне у меня потерялась сумка с документами. Нужно найти её как можно скорее.,в деревня у я потеряться сумка с документ . нужный найти она как можно скорый .,1,Леопольд,5,4,3
422,11422,да,8.0,27500,Недалеко от города у меня пропал рюкзак. Нужно найти его как можно скорее.,недалеко от город у я пропасть рюкзак . нужный найти он как можно скорый .,1,Леопольд,4,3,4
423,11423,да,2.0,28000,По дороге из деревни у меня был украден рюкзак. Нужно найти его как можно скорее.,по дорога из деревня у я быть украсть рюкзак . нужный найти он как можно скорый .,1,Фредерик,4,4,3
424,11424,да,5.0,9500,В лесу около деревни монстры нападают на людей. Нужно уничтожить их.,в лес около деревня монстр нападать на человек . нужный уничтожить они .,0,Леопольд,4,3,2
425,11425,да,1.0,7500,По дороге из деревни были замечены разбойники. Нужно убить их.,по дорога из деревня быть заметить разбойник . нужный убить они .,0,Пастушок,4,4,3
426,11426,да,4.0,7500,"В городе у меня пропала драгоценность. Нужно вернуть её как можно скорее. Проверьте все места, где она могла быть оставлена.","в город у я пропасть драгоценность . нужный вернуть она как можно скорый . проверить весь место , где она мочь быть оставить .",1,Синеглазый,4,4,4
427,11427,да,10.0,5000,В лесу между городом и деревней разбойники нападают на людей. Нужно прогнать их.,в лес между город и деревня разбойник нападать на человек . нужный прогнать они .,0,Юлия,4,3,4
428,11428,нет,,12500,В лесу около деревни звери нападают на людей. Нужно прогнать их.,в лес около деревня зверь нападать на человек . нужный прогнать они .,0,Соня,2,4,4
429,11429,да,1.0,29500,"В городе у меня была украдена сумка с документами. Нужно найти её как можно скорее. Проверьте все места, где она могла быть оставлена.","в город у я быть украсть сумка с документ . нужный найти она как можно скорый . проверить весь место , где она мочь быть оставить .",1,Глюкоза,3,4,4
430,11430,да,9.0,25000,"В городе у меня потерялась сумка с документами. Нужно найти её как можно скорее. Проверьте все места, где она могла быть оставлена.","в город у я потеряться сумка с документ . нужный найти она как можно скорый . проверить весь место , где она мочь быть оставить .",1,Альфред,3,3,5
431,11431,да,9.0,14000,"В лесу около деревни видели монстров. Нужно победить их. Будьте осторожны, так как монстры могут быть опасными.","в лес около деревня видеть монстр . нужный победить они . быть осторожный , так как монстр мочь быть опасный .",3,Юлия,3,4,4
432,11432,да,9.0,25500,"По дороге из деревни были замечены разбойники. Нужно проучить их. Будьте осторожны, так как разбойники могут быть опасными.","по дорога из деревня быть заметить разбойник . нужный проучить они . быть осторожный , так как разбойник мочь быть опасный .",3,Леопольд,5,3,5
433,11433,да,8.0,9500,В городе у меня пропал рюкзак. Нужно вернуть его как можно скорее.,в город у я пропасть рюкзак . нужный вернуть он как можно скорый .,1,Бендер,4,2,4
434,11434,да,8.0,23000,"В городе у меня пропала сумка с документами. Нужно вернуть её как можно скорее. Проверьте все места, где она могла быть оставлена.","в город у я пропасть сумка с документ . нужный вернуть она как можно скорый . проверить весь место , где она мочь быть оставить .",1,Агата,4,4,4
435,11435,да,7.0,5500,Недалеко от города у меня была украдена сумка с документами. Нужно найти её как можно скорее.,недалеко от город у я быть украсть сумка с документ . нужный найти она как можно скорый .,1,Агата,4,3,4
436,11436,да,7.0,28000,"В лесу недалеко от города заметили монстров. Нужно победить их. Осмотрите все возможные укрытия, чтобы найти монстров.","в лес недалеко от город заметить монстр . нужный победить они . осмотрите весь возможный укрытие , чтобы найти монстр .",4,Юлия,4,4,4
437,11437,да,8.0,21000,В пещере завёлся дракон. Нужно его уничтожить.,в пещера завестись дракон . нужный он уничтожить .,0,Фредерик,5,5,4
438,11438,нет,,11000,"В городе у меня пропала драгоценность. Нужно вернуть её как можно скорее. Проверьте все места, где она могла быть оставлена.","в город у я пропасть драгоценность . нужный вернуть она как можно скорый . проверить весь место , где она мочь быть оставить .",1,Леопольд,4,4,5
439,11439,да,9.0,18000,По дороге из деревни у меня была украдена сумка с документами. Нужно найти её как можно скорее.,по дорога из деревня у я быть украсть сумка с документ . нужный найти она как можно скорый .,1,Пастушок,5,4,4
440,11440,да,5.0,28500,Недалеко от города заметили разбойников. Нужно проучить их.,недалеко от город заметить разбойник . нужный проучить они .,0,Мартин,4,3,4
441,11441,да,10.0,7000,В лесу недалеко от города видели монстров. Нужно победить их.,в лес недалеко от город видеть монстр . нужный победить они .,0,Бендер,3,4,5
442,11442,да,3.0,28000,"Недалеко от города монстры похитили путников. Нужно спасти их. Осмотрите все возможные укрытия, чтобы найти похищенных.","недалеко от город монстр похитить путник . нужный спасти они . осмотрите весь возможный укрытие , чтобы найти похитить .",2,Юлия,4,5,4
443,11443,да,5.0,16500,По дороге из деревни заметили зверей. Нужно прогнать их.,по дорога из деревня заметить зверь . нужный прогнать они .,0,Мартин,5,5,2
444,11444,да,10.0,16500,В пещере появвилось огромное каменное чудовище. Нужно убить его.,в пещера появвиться огромный каменный чудовище . нужный убить он .,0,Леопольд,4,3,5
445,11445,да,7.0,28500,Недалеко от города у меня пропала драгоценность. Нужно вернуть её как можно скорее.,недалеко от город у я пропасть драгоценность . нужный вернуть она как можно скорый .,1,Леопольд,5,2,3
446,11446,да,2.0,12500,По дороге из деревни монстры похитили путников. Нужно спасти их.,по дорога из деревня монстр похитить путник . нужный спасти они .,2,Соня,4,3,4
447,11447,да,1.0,5000,В деревне монстры похитили путников. Нужно освободить их.,в деревня монстр похитить путник . нужный освободить они .,2,Леопольд,4,3,4
448,11448,да,3.0,18000,"В лесу недалеко от города монстры нападают на людей. Нужно победить их. Осмотрите все возможные укрытия, чтобы найти монстров.","в лес недалеко от город монстр нападать на человек . нужный победить они . осмотрите весь возможный укрытие , чтобы найти монстр .",4,Бенедикт,3,4,3
449,11449,да,9.0,22000,В городе у меня потерялась сумка с документами. Нужно найти её как можно скорее.,в город у я потеряться сумка с документ . нужный найти она как можно скорый .,1,Юлия,4,4,4
450,11450,да,9.0,21500,В деревне у меня потерялась сумка с документами. Нужно найти её как можно скорее.,в деревня у я потеряться сумка с документ . нужный найти она как можно скорый .,1,Глюкоза,4,4,4
451,11451,да,8.0,8000,По дороге из деревни монстры похитили путников. Нужно освободить их.,по дорога из деревня монстр похитить путник . нужный освободить они .,2,Пастушок,4,4,2
452,11452,да,3.0,9000,В пещере появвилось огромное каменное чудовище. Нужно убить его.,в пещера появвиться огромный каменный чудовище . нужный убить он .,0,Мартин,4,3,5
453,11453,да,7.0,27000,"В городе монстры похитили путников. Нужно спасти их. Осмотрите все возможные укрытия, чтобы найти похищенных.","в город монстр похитить путник . нужный спасти они . осмотрите весь возможный укрытие , чтобы найти похитить .",2,Бендер,4,4,5
454,11454,да,6.0,5500,"По дороге из деревни у меня пропала сумка с документами. Нужно найти её как можно скорее. Проверьте все места, где она могла быть оставлена.","по дорога из деревня у я пропасть сумка с документ . нужный найти она как можно скорый . проверить весь место , где она мочь быть оставить .",1,Юлия,3,3,5
455,11455,да,2.0,14500,В деревне у меня был украден рюкзак. Нужно найти его как можно скорее.,в деревня у я быть украсть рюкзак . нужный найти он как можно скорый .,1,Глюкоза,5,5,3
456,11456,да,7.0,10000,В городе у меня была украдена сумка с документами. Нужно вернуть её как можно скорее.,в город у я быть украсть сумка с документ . нужный вернуть она как можно скорый .,1,Бендер,3,3,4
457,11457,да,3.0,12500,"В городе у меня потерялся рюкзак. Нужно вернуть его как можно скорее. Проверьте все места, где он мог быть оставлен.","в город у я потеряться рюкзак . нужный вернуть он как можно скорый . проверить весь место , где он мочь быть оставить .",1,Бенедикт,3,4,4
458,11458,да,2.0,28500,"В лесу между городом и деревней заметили разбойников. Нужно убить их. Будьте осторожны, так как разбойники могут быть опасными.","в лес между город и деревня заметить разбойник . нужный убить они . быть осторожный , так как разбойник мочь быть опасный .",3,Глюкоза,5,4,5
459,11459,да,5.0,6500,В лесу недалеко от города заметили разбойников. Нужно убить их.,в лес недалеко от город заметить разбойник . нужный убить они .,0,Юлия,4,4,4
460,11460,да,3.0,27000,"В городе монстры похитили путников. Нужно освободить их. Осмотрите все возможные укрытия, чтобы найти похищенных.","в город монстр похитить путник . нужный освободить они . осмотрите весь возможный укрытие , чтобы найти похитить .",2,Пастушок,5,3,4
461,11461,да,2.0,28000,В городе у меня пропал рюкзак. Нужно найти его как можно скорее.,в город у я пропасть рюкзак . нужный найти он как можно скорый .,1,Юлия,4,5,3
462,11462,нет,,19500,"В городе монстры похитили путников. Нужно освободить их. Осмотрите все возможные укрытия, чтобы найти похищенных.","в город монстр похитить путник . нужный освободить они . осмотрите весь возможный укрытие , чтобы найти похитить .",2,Леопольд,4,3,3
463,11463,да,1.0,11500,В пещере появвилось огромное каменное чудовище. Нужно убить его.,в пещера появвиться огромный каменный чудовище . нужный убить он .,0,Альфред,3,3,3
464,11464,да,4.0,6000,"В городе у меня потерялась сумка с документами. Нужно вернуть её как можно скорее. Проверьте все места, где она могла быть оставлена.","в город у я потеряться сумка с документ . нужный вернуть она как можно скорый . проверить весь место , где она мочь быть оставить .",1,Мартин,4,4,4
465,11465,да,10.0,28000,Недалеко от города разбойники нападают на людей. Нужно убить их.,недалеко от город разбойник нападать на человек . нужный убить они .,0,Пастушок,4,5,4
466,11466,да,10.0,25500,В лесу по дороге от пещеры видели монстров. Нужно уничтожить их.,в лес по дорога от пещера видеть монстр . нужный уничтожить они .,0,Леопольд,5,3,3
467,11467,да,7.0,18500,"В лесу около деревни монстры нападают на людей. Нужно уничтожить их. Будьте осторожны, так как монстры могут быть опасными.","в лес около деревня монстр нападать на человек . нужный уничтожить они . быть осторожный , так как монстр мочь быть опасный .",3,Альфред,4,5,4
468,11468,да,5.0,7500,По дороге из деревни у меня была украдена драгоценность. Нужно найти её как можно скорее.,по дорога из деревня у я быть украсть драгоценность . нужный найти она как можно скорый .,1,Фредерик,5,2,4
469,11469,да,5.0,13500,"По дороге из деревни монстры нападают на людей. Нужно уничтожить их. Будьте осторожны, так как монстры могут быть опасными.","по дорога из деревня монстр нападать на человек . нужный уничтожить они . быть осторожный , так как монстр мочь быть опасный .",3,Фредерик,3,4,4
470,11470,да,1.0,13000,По дороге из деревни у меня пропала драгоценность. Нужно найти её как можно скорее.,по дорога из деревня у я пропасть драгоценность . нужный найти она как можно скорый .,1,Мартин,4,5,4
471,11471,да,2.0,18000,"В пещере завёлся дракон. Нужно его уничтожить. Это может потребовать времени и усилий, так как дракон очень опасен.","в пещера завестись дракон . нужный он уничтожить . это мочь потребовать время и усилие , так как дракон очень опасный .",3,Синеглазый,3,4,4
472,11472,да,10.0,9000,В деревне монстры похитили путников. Нужно освободить их.,в деревня монстр похитить путник . нужный освободить они .,2,Леопольд,4,5,4
473,11473,да,2.0,13500,В деревне у меня была украдена сумка с документами. Нужно вернуть её как можно скорее.,в деревня у я быть украсть сумка с документ . нужный вернуть она как можно скорый .,1,Агата,5,4,2
474,11474,да,2.0,6000,"Недалеко от города монстры похитили путников. Нужно освободить их. Осмотрите все возможные укрытия, чтобы найти похищенных.","недалеко от город монстр похитить путник . нужный освободить они . осмотрите весь возможный укрытие , чтобы найти похитить .",2,Соня,3,4,3
475,11475,да,2.0,20000,"В пещере завёлся дракон. Нужно его уничтожить. Это может потребовать времени и усилий, так как дракон очень опасен.","в пещера завестись дракон . нужный он уничтожить . это мочь потребовать время и усилие , так как дракон очень опасный .",3,Бенедикт,4,5,5
476,11476,да,3.0,10000,"По дороге из деревни звери нападают на людей. Нужно прогнать их. Будьте осторожны, так как звери могут быть опасными.","по дорога из деревня зверь нападать на человек . нужный прогнать они . быть осторожный , так как зверь мочь быть опасный .",3,Юлия,4,3,3
477,11477,да,1.0,24000,Недалеко от города у меня потерялась драгоценность. Нужно найти её как можно скорее.,недалеко от город у я потеряться драгоценность . нужный найти она как можно скорый .,1,Фредерик,4,4,4
478,11478,да,10.0,24000,"В пещере завёлся дракон. Нужно его уничтожить. Это может потребовать времени и усилий, так как дракон очень опасен.","в пещера завестись дракон . нужный он уничтожить . это мочь потребовать время и усилие , так как дракон очень опасный .",3,Соня,5,3,5
479,11479,да,1.0,20500,"В деревне у меня пропала драгоценность. Нужно найти её как можно скорее. Проверьте все места, где она могла быть оставлена.","в деревня у я пропасть драгоценность . нужный найти она как можно скорый . проверить весь место , где она мочь быть оставить .",1,Пастушок,5,4,4
480,11480,да,2.0,16500,В городе у меня потерялась драгоценность. Нужно найти её как можно скорее.,в город у я потеряться драгоценность . нужный найти она как можно скорый .,1,Пастушок,4,3,5
481,11481,да,3.0,27500,В городе у меня потерялась драгоценность. Нужно вернуть её как можно скорее.,в город у я потеряться драгоценность . нужный вернуть она как можно скорый .,1,Бендер,4,5,5
482,11482,да,2.0,18000,"В лесу около деревни видели монстров. Нужно уничтожить их. Будьте осторожны, так как монстры могут быть опасными.","в лес около деревня видеть монстр . нужный уничтожить они . быть осторожный , так как монстр мочь быть опасный .",3,Пастушок,4,4,3
483,11483,да,5.0,24500,"В пещере завёлся дракон. Нужно его убить. Это может потребовать времени и усилий, так как дракон очень опасен.","в пещера завестись дракон . нужный он убить . это мочь потребовать время и усилие , так как дракон очень опасный .",3,Пастушок,3,5,4
484,11484,да,1.0,29000,В лесу по дороге от пещеры разбойники нападают на людей. Нужно проучить их.,в лес по дорога от пещера разбойник нападать на человек . нужный проучить они .,0,Бенедикт,5,4,4
485,11485,да,2.0,23500,В деревне у меня был украден рюкзак. Нужно вернуть его как можно скорее.,в деревня у я быть украсть рюкзак . нужный вернуть он как можно скорый .,1,Синеглазый,4,5,4
486,11486,да,6.0,7000,В деревне у меня пропал рюкзак. Нужно вернуть его как можно скорее.,в деревня у я пропасть рюкзак . нужный вернуть он как можно скорый .,1,Бендер,3,3,3
487,11487,да,3.0,17500,"По дороге из деревни заметили разбойников. Нужно прогнать их. Будьте осторожны, так как разбойники могут быть опасными.","по дорога из деревня заметить разбойник . нужный прогнать они . быть осторожный , так как разбойник мочь быть опасный .",3,Глюкоза,4,4,4
488,11488,да,4.0,20500,"В лесу по дороге от пещеры встречаются звери. Нужно прогнать их. Осмотрите все возможные укрытия, чтобы найти зверей.","в лес по дорога от пещера встречаться зверь . нужный прогнать они . осмотрите весь возможный укрытие , чтобы найти зверь .",4,Альфред,4,4,3
489,11489,да,7.0,15000,По дороге из деревни монстры похитили путников. Нужно спасти их.,по дорога из деревня монстр похитить путник . нужный спасти они .,2,Глюкоза,4,4,5
490,11490,да,1.0,26500,В лесу по дороге от пещеры видели монстров. Нужно уничтожить их.,в лес по дорога от пещера видеть монстр . нужный уничтожить они .,0,Соня,4,4,5
491,11491,да,1.0,9000,"В пещере появвилось огромное каменное чудовище. Нужно уничтожить его. Это может потребовать времени и усилий, так как огромное каменное чудовище очень опасен.","в пещера появвиться огромный каменный чудовище . нужный уничтожить он . это мочь потребовать время и усилие , так как огромный каменный чудовище очень опасный .",3,Синеглазый,4,4,3
492,11492,да,4.0,7000,По дороге из деревни у меня была украдена драгоценность. Нужно вернуть её как можно скорее.,по дорога из деревня у я быть украсть драгоценность . нужный вернуть она как можно скорый .,1,Глюкоза,3,4,5
493,11493,да,4.0,8500,В лесу около деревни заметили разбойников. Нужно прогнать их.,в лес около деревня заметить разбойник . нужный прогнать они .,0,Бенедикт,4,4,5
494,11494,да,6.0,13500,Недалеко от города у меня пропал рюкзак. Нужно вернуть его как можно скорее.,недалеко от город у я пропасть рюкзак . нужный вернуть он как можно скорый .,1,Агата,3,5,5
495,11495,да,4.0,23000,В лесу около деревни встречаются звери. Нужно убить их.,в лес около деревня встречаться зверь . нужный убить они .,0,Синеглазый,3,4,4
496,11496,да,7.0,9000,В лесу между городом и деревней видели монстров. Нужно победить их.,в лес между город и деревня видеть монстр . нужный победить они .,0,Юлия,3,3,4
497,11497,да,4.0,8000,В лесу по дороге от пещеры монстры нападают на людей. Нужно победить их.,в лес по дорога от пещера монстр нападать на человек . нужный победить они .,0,Пастушок,5,3,5
498,11498,да,2.0,28000,В лесу около деревни разбойники нападают на людей. Нужно прогнать их.,в лес около деревня разбойник нападать на человек . нужный прогнать они .,0,Мартин,4,4,4
499,11499,да,4.0,16500,В лесу недалеко от города были замечены разбойники. Нужно проучить их.,в лес недалеко от город быть заметить разбойник . нужный проучить они .,0,Глюкоза,4,3,4
